id,age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry
1,22,7,9,12,4,1,1,4,1,27,0,39,39
2,33,6,9,12,2,4,0,4,1,0,0,12,39
3,21,4,11,8,0,6,1,4,1,0,0,39,39
4,36,4,1,6,2,6,0,2,1,0,0,39,39
5,11,4,9,12,2,10,5,2,0,0,0,39,5
6,20,4,12,13,2,4,5,4,0,0,0,39,39
7,32,4,6,4,3,8,1,2,0,0,0,15,23
8,35,6,11,8,2,4,0,4,1,0,0,44,39
9,14,4,12,13,4,10,1,4,0,109,0,49,39
10,25,4,9,12,2,4,0,4,1,81,0,39,39
11,20,4,15,9,2,4,0,2,1,0,0,78,39
12,13,7,9,12,2,10,0,1,1,0,0,39,19
13,6,4,9,12,4,1,3,4,0,0,0,29,39
14,15,4,7,11,4,12,1,2,1,0,0,49,39
15,23,4,8,10,2,3,0,1,1,0,0,39,0
16,17,4,5,3,2,14,0,0,1,0,0,44,26
17,8,6,11,8,4,5,3,4,1,0,0,34,39
18,15,4,11,8,4,7,4,4,1,0,0,39,39
19,21,4,1,6,2,12,0,4,1,0,0,49,39
20,26,6,12,13,0,4,4,4,0,0,0,44,39
21,23,4,10,15,2,10,0,4,1,0,0,59,39
22,37,4,11,8,5,8,4,2,0,0,0,19,39
23,18,1,6,4,2,5,0,2,1,0,0,39,39
24,26,4,1,6,2,14,0,4,1,0,59,39,39
25,42,4,11,8,0,13,4,4,0,0,0,39,39
26,39,2,9,12,2,13,0,4,1,0,0,39,39
27,2,4,11,8,4,3,3,4,1,0,0,39,39
28,37,0,15,9,2,0,0,1,1,0,0,59,35
29,22,4,11,8,0,4,1,4,1,0,0,78,39
30,32,4,11,8,2,3,0,4,1,0,0,39,39
31,6,2,7,11,4,11,1,4,1,0,0,51,39
32,3,4,15,9,4,12,3,2,1,0,0,43,39
33,28,4,9,12,0,4,3,4,1,0,15,39,39
34,13,1,15,9,2,1,3,4,1,0,0,39,39
35,5,7,15,9,2,8,0,2,1,0,0,14,39
36,31,4,1,6,4,7,4,4,1,0,0,39,33
37,4,4,15,9,4,7,3,4,1,0,0,39,39
38,2,4,11,8,1,1,5,4,0,0,0,24,39
39,14,4,15,9,2,12,0,4,1,0,0,37,0
40,31,6,7,11,2,10,0,4,1,0,0,39,39
41,14,4,6,4,2,7,0,4,1,0,0,42,39
42,36,6,9,12,2,10,0,4,1,0,0,39,39
43,7,4,9,12,2,13,0,4,1,0,0,49,39
44,32,4,11,8,5,1,4,4,0,0,0,39,39
45,8,4,11,8,4,6,1,4,1,0,0,34,39
46,40,1,9,12,2,10,0,2,1,0,0,39,39
47,36,4,11,8,2,7,0,4,1,0,0,37,39
48,27,4,12,13,0,4,4,4,0,0,0,39,39
49,24,7,8,10,2,3,0,4,1,0,0,39,39
50,12,4,8,10,4,10,1,4,1,0,0,42,39
51,8,4,15,9,2,4,5,3,0,0,0,39,39
52,1,4,11,8,4,8,3,4,0,0,0,29,0
53,30,4,14,14,2,10,5,4,0,0,51,59,16
54,33,1,9,12,0,4,1,4,1,0,0,54,39
55,30,5,11,8,0,4,1,4,1,0,0,59,39
56,26,4,15,9,2,13,0,4,1,0,0,39,39
57,29,4,4,2,2,7,0,4,1,0,0,39,26
